identifier,section,parameter,value
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 372_5824.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/372_5824.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 372_5826.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/372_5826.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 372_5828.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/372_5828.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 374_5806.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/374_5806.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 374_5808.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/374_5808.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 374_5810.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/374_5810.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 374_5812.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/374_5812.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 374_5814.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/374_5814.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 374_5816.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/374_5816.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 374_5818.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/374_5818.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 374_5820.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/374_5820.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 374_5822.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/374_5822.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 374_5824.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/374_5824.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 374_5826.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/374_5826.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 374_5828.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/374_5828.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 376_5808.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/376_5808.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 376_5810.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/376_5810.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 376_5812.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/376_5812.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 376_5814.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/376_5814.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 376_5816.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/376_5816.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 376_5818.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/376_5818.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 376_5820.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/376_5820.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 376_5822.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/376_5822.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 376_5824.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/376_5824.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 376_5826.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/376_5826.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 376_5828.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/376_5828.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 378_5808.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/378_5808.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 378_5810.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/378_5810.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 378_5812.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/378_5812.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 378_5814.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/378_5814.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 378_5816.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/378_5816.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 378_5818.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/378_5818.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 378_5820.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/378_5820.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 378_5822.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/378_5822.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 378_5824.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/378_5824.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 378_5826.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/378_5826.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 378_5828.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/378_5828.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 378_5830.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/378_5830.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 378_5832.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/378_5832.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 380_5806.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/380_5806.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 380_5808.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/380_5808.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 380_5810.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/380_5810.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 380_5812.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/380_5812.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 380_5814.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/380_5814.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 380_5816.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/380_5816.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 380_5818.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/380_5818.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 380_5820.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/380_5820.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 380_5822.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/380_5822.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 380_5824.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/380_5824.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 380_5826.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/380_5826.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 380_5828.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/380_5828.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 380_5830.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/380_5830.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 380_5832.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/380_5832.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 382_5806.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/382_5806.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 382_5808.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/382_5808.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 382_5810.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/382_5810.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 382_5812.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/382_5812.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 382_5814.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/382_5814.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 382_5816.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/382_5816.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 382_5818.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/382_5818.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 382_5820.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/382_5820.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 382_5822.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/382_5822.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 382_5824.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/382_5824.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 382_5826.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/382_5826.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 382_5828.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/382_5828.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 382_5830.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/382_5830.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 382_5832.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/382_5832.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 382_5834.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/382_5834.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 384_5806.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/384_5806.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 384_5808.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/384_5808.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 384_5810.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/384_5810.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 384_5812.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/384_5812.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 384_5814.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/384_5814.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 384_5816.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/384_5816.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 384_5818.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/384_5818.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 384_5820.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/384_5820.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 384_5822.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/384_5822.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 384_5824.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/384_5824.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 384_5826.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/384_5826.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 384_5828.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/384_5828.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 384_5830.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/384_5830.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 384_5832.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/384_5832.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 384_5834.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/384_5834.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 386_5806.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/386_5806.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 386_5808.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/386_5808.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 386_5810.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/386_5810.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 386_5812.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/386_5812.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 386_5814.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/386_5814.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 386_5816.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/386_5816.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 386_5818.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/386_5818.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 386_5820.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/386_5820.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 386_5822.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/386_5822.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 386_5824.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/386_5824.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 386_5826.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/386_5826.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 386_5828.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/386_5828.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 386_5830.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/386_5830.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 386_5832.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/386_5832.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 388_5804.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/388_5804.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 388_5806.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/388_5806.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 388_5808.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/388_5808.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 388_5810.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/388_5810.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 388_5812.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/388_5812.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 388_5814.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/388_5814.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 388_5816.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/388_5816.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 388_5818.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/388_5818.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 388_5820.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/388_5820.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 388_5822.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/388_5822.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 388_5824.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/388_5824.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 388_5826.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/388_5826.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 388_5828.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/388_5828.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 388_5830.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/388_5830.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 388_5832.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/388_5832.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 390_5804.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/390_5804.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 390_5806.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/390_5806.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 390_5808.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/390_5808.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 390_5810.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/390_5810.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 390_5812.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/390_5812.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 390_5814.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/390_5814.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 390_5816.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/390_5816.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 390_5818.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/390_5818.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 390_5820.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/390_5820.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 390_5822.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/390_5822.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 390_5824.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/390_5824.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 390_5826.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/390_5826.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 390_5828.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/390_5828.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 390_5830.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/390_5830.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 390_5832.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/390_5832.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 390_5834.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/390_5834.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 392_5804.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/392_5804.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 392_5806.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/392_5806.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 392_5808.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/392_5808.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 392_5810.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/392_5810.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 392_5812.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/392_5812.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 392_5814.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/392_5814.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 392_5816.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/392_5816.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 392_5818.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/392_5818.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 392_5820.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/392_5820.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 392_5822.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/392_5822.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 392_5824.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/392_5824.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 392_5826.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/392_5826.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 392_5828.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/392_5828.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 392_5830.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/392_5830.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 392_5832.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/392_5832.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 392_5834.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/392_5834.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 394_5808.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/394_5808.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 394_5810.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/394_5810.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 394_5812.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/394_5812.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 394_5814.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/394_5814.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 394_5816.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/394_5816.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 394_5818.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/394_5818.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 394_5820.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/394_5820.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 394_5822.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/394_5822.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 394_5824.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/394_5824.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 394_5826.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/394_5826.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 394_5828.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/394_5828.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 394_5830.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/394_5830.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 394_5832.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/394_5832.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 394_5834.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/394_5834.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 394_5836.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/394_5836.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 396_5806.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/396_5806.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 396_5808.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/396_5808.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 396_5810.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/396_5810.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 396_5812.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/396_5812.zip
"
K.k_dom@senstadt,Direkter Download des Datensatzes,ATKIS® DOM 396_5814.zip,"
https://fbinter.stadt-berlin.de/fb/atom/bDOM1/396_5814.zip
"
